,Id,Status Category,Probability of conversion,Use Case,Created Date
16550,LtWezMMv,Process,0.3,Indefinite,2019-08-30
16551,luvuy54i,Waiting,0.4,Corporate Events,2018-01-03
16552,sh3fbk9r,Waiting,0.4,Indefinite,2019-01-10
16553,m15c95i1,Discarded,0.1,Corporate Events,2019-08-30
16554,ZuF47Ri8,Waiting,0.4,Indefinite,2018-01-03
16555,chtlgvq4,Waiting,0.4,Indefinite,2019-01-10
16556,anwmuyia,Waiting,0.4,Corporate Events,2019-08-30
16557,ow1PUm1P,Discarded,0.1,Sports Events,2018-01-03
16558,fbt7gbky,Discarded,0.1,Corporate Events,2019-01-10
16559,k0jc9chy,Discarded,0.1,Sports Events,2019-08-30
16560,1x431txy,Waiting,0.4,Educational Seminars,2018-01-03
16561,p4laec2J,Discarded,0.1,Sports Events,2019-01-10
16562,45vxXi1b,Process,0.3,Indefinite,2019-08-30
16563,WfqH3mt3,Discarded,0.1,Indefinite,2018-01-03
16564,gab9jesl,Discarded,0.1,Indefinite,2019-01-10
16565,beWxDnZ6,Process,0.3,Indefinite,2019-08-30
16566,gjyuu631,Waiting,0.4,Educational Seminars,2018-01-03
16567,c14upp1s,Discarded,0.1,Corporate Events,2019-01-10
16568,nsfcmcls,Waiting,0.4,Indefinite,2019-08-30
16569,gjltiwhy,Waiting,0.4,Corporate Events,2018-01-03
16570,3j065wif,Engaged,0.45,Corporate Events,2019-01-10
16571,0xvrrk0d,Waiting,0.4,Indefinite,2019-08-30
16572,s92epf43,Waiting,0.4,Corporate Events,2018-01-03
16573,884cYdM9,Discarded,0.1,Indefinite,2019-01-10
16574,8ljjnnk6,Waiting,0.4,Indefinite,2019-08-30
16575,u0GcKZKM,Discarded,0.1,Indefinite,2018-01-03
16576,Nw62wXWi,Discarded,0.1,Indefinite,2019-01-10
16577,ohcmgy8l,Process,0.3,Corporate Events,2019-08-30
16578,2NXKnZb1,Qualified,0.5,Corporate Events,2018-01-03
16579,zZjdZx2V,Process,0.3,Sports Events,2019-01-10
16580,a70tawm1,Waiting,0.4,Corporate Events,2019-08-30
16581,1IVl82RS,Waiting,0.4,Indefinite,2018-01-03
16582,R3pACZZT,Waiting,0.4,Sports Events,2019-01-10
16583,39o5d2xd,Discarded,0.1,Indefinite,2019-08-30
16584,1u0eBlOW,Waiting,0.4,Indefinite,2018-01-03
16585,QmKNFqXI,Process,0.3,Sports Events,2019-01-10
16586,t6zwcgyb,Discarded,0.1,Corporate Events,2019-08-30
16587,11yyoqxy,Waiting,0.4,Corporate Events,2018-01-03
16588,cdkl2sao,Discarded,0.1,Corporate Events,2019-01-10
16589,fu75qb6e,Discarded,0.1,Indefinite,2019-08-30
16590,zvcMfziO,Waiting,0.4,Indefinite,2018-01-03
16591,lzw75r34,Discarded,0.1,Corporate Events,2019-01-10
16592,h5d2ttix,Discarded,0.1,Corporate Events,2019-08-30
16593,7ugjsppu,Discarded,0.1,Indefinite,2018-01-03
16594,d2VOtaOO,Discarded,0.1,Indefinite,2019-01-10
16595,3ri7aoqg,Discarded,0.1,Corporate Events,2019-08-30
16596,czkcBmkN,Discarded,0.1,Indefinite,2018-01-03
16597,wnekg1iz,Waiting,0.4,Educational Seminars,2019-01-10
16598,sqaxwz5h,Waiting,0.4,Sports Events,2019-08-30
16599,u23fujsy,Waiting,0.4,Corporate Events,2018-01-03
16600,zi560ekz,Waiting,0.4,Corporate Events,2019-01-10
16601,V7LDaUqe,Qualified,0.5,Educational Seminars,2019-08-30
16602,8u97vt3p,Waiting,0.4,Corporate Events,2018-01-03
16603,W98H2af7,Discarded,0.1,Indefinite,2019-01-10
16604,jnc5b038,Discarded,0.1,Corporate Events,2019-08-30
16605,tq57usfg,Waiting,0.4,Corporate Events,2018-01-03
16606,j5j627pj,Waiting,0.4,Indefinite,2019-01-10
16607,u2wjnug5,Discarded,0.1,Corporate Events,2019-08-30
16608,bf4WrkNn,Discarded,0.1,Sports Events,2018-01-03
16609,wt4jjujf,Discarded,0.1,Indefinite,2019-01-10
16610,89suenq6,Waiting,0.4,Indefinite,2019-08-30
16611,bh33gcxw,Process,0.3,Corporate Events,2018-01-03
16612,dknov5pa,Discarded,0.1,Indefinite,2019-01-10
16613,17qoe09n,Waiting,0.4,Indefinite,2019-08-30
16614,7dypxx2k,Waiting,0.4,Corporate Events,2018-01-03
16615,K1lhBVzG,Process,0.3,Sports Events,2019-01-10
16616,70hp7j08,Waiting,0.4,Indefinite,2019-08-30
16617,cXnlOUXd,Waiting,0.4,Indefinite,2018-01-03
16618,zf678oou,Waiting,0.4,Indefinite,2019-01-10
16619,0wtxd4ja,Waiting,0.4,Corporate Events,2019-08-30
16620,I7sThglQ,Qualified,0.5,Corporate Events,2018-01-03
16621,rtsdmj64,Waiting,0.4,Corporate Events,2019-01-10
16622,YKThRXDE,Process,0.3,Indefinite,2019-08-30
16623,SXBjxXR8,Qualified,0.5,Corporate Events,2018-01-03
16624,cydwkrr6,Discarded,0.1,Corporate Events,2019-01-10
16625,aunjq33r,Waiting,0.4,Corporate Events,2019-08-30
16626,VX11ODnT,Discarded,0.1,Indefinite,2018-01-03
16627,E0O6CW81,Waiting,0.4,Corporate Events,2019-01-10
16628,wzlhx90n,Discarded,0.1,Indefinite,2019-08-30
16629,ho41om6o,Discarded,0.1,Corporate Events,2018-01-03
16630,dSFZkLzd,Discarded,0.1,Indefinite,2019-01-10
16631,a1uwy3g8,Process,0.3,Corporate Events,2019-08-30
16632,3uBueDVJ,Discarded,0.1,Indefinite,2018-01-03
16633,hnesv5ij,Waiting,0.4,Corporate Events,2019-01-10
16634,uadw83ar,Waiting,0.4,Indefinite,2019-08-30
16635,q26i7oh1,Waiting,0.4,Indefinite,2018-01-03
16636,svc1g1ct,Waiting,0.4,Indefinite,2019-01-10
16637,rrcgnouf,Discarded,0.1,Corporate Events,2019-08-30
16638,TfeuZeD0,Waiting,0.4,Sports Events,2018-01-03
16639,o5lvauli,Waiting,0.4,Corporate Events,2019-01-10
16640,uuq8f95b,Waiting,0.4,Indefinite,2019-08-30
16641,rQMLEVGT,Waiting,0.4,Indefinite,2018-01-03
16642,7umcc0k8,Engaged,0.45,Corporate Events,2019-01-10
16643,2jiqddr5,Discarded,0.1,Corporate Events,2019-08-30
16644,ygvkw0bu,Waiting,0.4,Indefinite,2018-01-03
16645,mnu9k4qf,Waiting,0.4,Indefinite,2019-01-10
16646,2gzohijs,Process,0.3,Corporate Events,2019-08-30
16647,a7i3g0rh,Process,0.3,Corporate Events,2018-01-03
16648,i8yvpiax,Waiting,0.4,Indefinite,2019-01-10
16649,0am3y6o1,Waiting,0.4,Educational Seminars,2019-08-30
16650,obpo79vi,Discarded,0.1,Corporate Events,2018-01-03
16651,uh8eoegr,Discarded,0.1,Corporate Events,2019-01-10
16652,tcyyjwkr,Discarded,0.1,Corporate Events,2019-08-30
16653,7npd9ups,Discarded,0.1,Corporate Events,2018-01-03
16654,d5gziam1,Discarded,0.1,Indefinite,2019-01-10
16655,fjqo1ZdE,Process,0.3,Indefinite,2019-08-30
16656,rUs9v0fQ,Waiting,0.4,Indefinite,2018-01-03
16657,96jxtbb7,Discarded,0.1,Corporate Events,2019-01-10
16658,wUJQQb8s,Discarded,0.1,Sports Events,2019-08-30
16659,q9f0d57s,Discarded,0.1,Corporate Events,2018-01-03
16660,qgp9sbih,Waiting,0.4,Indefinite,2019-01-10
16661,4u5z6ehf,Process,0.3,Corporate Events,2019-08-30
16662,iiucdjgu,Discarded,0.1,Corporate Events,2018-01-03
16663,j4iru50o,Discarded,0.1,Sports Events,2019-01-10
16664,d5v4nbd3,Waiting,0.4,Educational Seminars,2019-08-30
16665,ovpkc6yj,Waiting,0.4,Indefinite,2018-01-03
16666,bhzc00tu,Discarded,0.1,Corporate Events,2019-01-10
16667,iuiczn0r,Waiting,0.4,Corporate Events,2019-08-30
16668,9hgANkm7,Waiting,0.4,Indefinite,2018-01-03
16669,kKYQ46Vd,Qualified,0.5,Corporate Events,2019-01-10
16670,ceh9es5z,Discarded,0.1,Corporate Events,2019-08-30
16671,bta0zzws,Discarded,0.1,Corporate Events,2018-01-03
16672,pepsi8y4,Discarded,0.1,Indefinite,2019-01-10
16673,dp9yycdk,Waiting,0.4,Corporate Events,2019-08-30
16674,XzZ4JrZ2,Qualified,0.5,Corporate Events,2018-01-03
16675,5zctbepj,Waiting,0.4,Corporate Events,2019-01-10
16676,pxttxvwt,Discarded,0.1,Corporate Events,2019-08-30
16677,7ovkdmog,Waiting,0.4,Corporate Events,2018-01-03
16678,h7oott38,Discarded,0.1,Indefinite,2019-01-10
16679,jhu86951,Discarded,0.1,Corporate Events,2019-08-30
16680,s283ge33,Waiting,0.4,Corporate Events,2018-01-03
16681,vPk4vX83,Waiting,0.4,Indefinite,2019-01-10
16682,ke96tgfc,Discarded,0.1,Corporate Events,2019-08-30
16683,23zjr6Bd,Discarded,0.1,Sports Events,2018-01-03
16684,6468c04o,Waiting,0.4,Corporate Events,2019-01-10
16685,6j5tc1n0,Discarded,0.1,Corporate Events,2019-08-30
16686,k157hxnd,Waiting,0.4,Corporate Events,2018-02-03
16687,a14vmfnp,Discarded,0.1,Corporate Events,2019-01-10
16688,7n0asaz6,Discarded,0.1,Corporate Events,2019-08-30
16689,DnnDi0rQ,Waiting,0.4,Indefinite,2018-02-03
16690,tfixt2e8,Discarded,0.1,Indefinite,2019-01-10
16691,bxtrzyj5,Discarded,0.1,Corporate Events,2019-08-30
16692,0CGLUFdM,Waiting,0.4,Educational Seminars,2018-02-03
16693,joI0B0f9,Waiting,0.4,Corporate Events,2019-01-11
16694,1z4fd0w9,Discarded,0.1,Indefinite,2019-08-30
16695,e0m548q5,Discarded,0.1,Corporate Events,2018-02-03
16696,9g4qak87,Discarded,0.1,Corporate Events,2019-01-11
16697,87q74hf9,Process,0.3,Corporate Events,2019-08-30
16698,ZZvJ1aHI,Waiting,0.4,Indefinite,2018-02-03
16699,by687kvy,Discarded,0.1,Indefinite,2019-01-11
16700,oqwszqem,Waiting,0.4,Corporate Events,2019-08-30
16701,6cypTjuK,Discarded,0.1,Indefinite,2018-02-03
16702,krtksy4y,Discarded,0.1,Corporate Events,2019-01-11
16703,dy37fj29,Discarded,0.1,Corporate Events,2019-08-30
16704,Qu3tUSGN,Qualified,0.5,Corporate Events,2018-02-03
16705,2dvvt4da,Discarded,0.1,Educational Seminars,2019-01-11
16706,6LEJddVA,Waiting,0.4,Sports Events,2019-08-30
16707,57gbbbta,Discarded,0.1,Indefinite,2018-02-03
16708,6p9LDXpx,Discarded,0.1,Indefinite,2019-01-11
16709,9byu4sb6,Process,0.3,Corporate Events,2019-08-30
16710,thwrbzpa,Discarded,0.1,Corporate Events,2018-02-03
16711,fvtbnw54,Discarded,0.1,Corporate Events,2019-01-11
16712,kk2illj5,Discarded,0.1,Corporate Events,2019-08-30
16713,BvIIFyFZ,Waiting,0.4,Indefinite,2018-02-03
16714,7w1H6Jtn,Discarded,0.1,Indefinite,2019-01-11
16715,j5dfjsy9,Process,0.3,Indefinite,2019-08-30
16716,bs57m2ya,Process,0.3,Corporate Events,2018-02-03
16717,lCH9XXVV,Discarded,0.1,Sports Events,2019-01-11
16718,xuk3j7n1,Discarded,0.1,Indefinite,2019-08-30
16719,d2qpaw1d,Waiting,0.4,Corporate Events,2018-02-03
16720,RDefUXyr,Waiting,0.4,Educational Seminars,2019-01-11
16721,1m11rnam,Process,0.3,Corporate Events,2019-08-30
16722,d9kq24ml,Waiting,0.4,Indefinite,2018-02-03
16723,9gosefjc,Discarded,0.1,Corporate Events,2019-01-11
16724,59vaq84n,Waiting,0.4,Corporate Events,2019-08-30
16725,hzKYtzzT,Qualified,0.5,Sports Events,2018-02-03
16726,7m5j6w38,Waiting,0.4,Educational Seminars,2019-01-11
16727,c50jaqpm,Waiting,0.4,Indefinite,2019-08-30
16728,FSuWpo5Z,Waiting,0.4,Sports Events,2018-02-03
16729,4e629q3i,Discarded,0.1,Corporate Events,2019-01-11
16730,w7xtddah,Discarded,0.1,Corporate Events,2019-08-30
16731,my83ujvf,Waiting,0.4,Corporate Events,2018-02-03
16732,kf26flvv,Discarded,0.1,Corporate Events,2019-01-11
16733,yhhcwKH0,Waiting,0.4,Indefinite,2019-08-30
16734,c72o1gyj,Waiting,0.4,Corporate Events,2018-02-03
16735,12ru01ud,Discarded,0.1,Indefinite,2019-01-11
16736,fokrx4g0,Discarded,0.1,Corporate Events,2019-08-30
16737,Ny2bN5Ed,Qualified,0.5,Corporate Events,2018-02-03
16738,ytSFE0X6,Waiting,0.4,Indefinite,2019-01-11
16739,5nn1xl8n,Discarded,0.1,Indefinite,2019-08-30
16740,ihw7tajh,Waiting,0.4,Indefinite,2018-02-03
16741,uizzxr7h,Waiting,0.4,Corporate Events,2019-01-11
16742,weykmaf7,Discarded,0.1,Corporate Events,2019-08-30
16743,5jesmtx2,Waiting,0.4,Indefinite,2018-02-03
16744,woinybvo,Discarded,0.1,Indefinite,2019-01-11
16745,rph0z3si,Discarded,0.1,Indefinite,2019-08-30
16746,7kq4nvoq,Waiting,0.4,Educational Seminars,2018-02-03
16747,4lnfcqdc,Discarded,0.1,Corporate Events,2019-01-11
16748,xknbos54,Process,0.3,Corporate Events,2019-08-30
16749,4f4cyoiq,Waiting,0.4,Corporate Events,2018-02-03
16750,v39w6h5e,Waiting,0.4,Corporate Events,2019-01-11
16751,at0kmDL7,Process,0.3,Indefinite,2019-09-29
16752,gwt2vs6c,Waiting,0.4,Corporate Events,2018-02-03
16753,sPWtaCm6,Discarded,0.1,Indefinite,2019-01-11
16754,QJpBP7DP,Qualified,0.5,Sports Events,2019-09-29
16755,5cYaFY5i,Discarded,0.1,Sports Events,2018-02-03
16756,qv6wj2v5,Discarded,0.1,Corporate Events,2019-01-11
16757,bjc69v4y,Discarded,0.1,Indefinite,2019-09-29
16758,QukD0hnD,Waiting,0.4,Sports Events,2018-02-03
16759,2x05lnfc,Discarded,0.1,Indefinite,2019-01-11
16760,is50cafb,Discarded,0.1,Indefinite,2019-09-29
16761,qoe3pjnz,Waiting,0.4,Corporate Events,2018-02-03
16762,et7vuup7,Waiting,0.4,Corporate Events,2019-01-11
16763,vpu4ng4u,Discarded,0.1,Corporate Events,2019-09-29
16764,7in3kBHL,Qualified,0.5,Corporate Events,2018-02-03
16765,TLkKAnld,Qualified,0.5,Corporate Events,2019-01-11
16766,jrzxoqnx,Waiting,0.4,Indefinite,2019-09-29
16767,hfujywz4,Waiting,0.4,Corporate Events,2018-02-03
16768,obq9pexo,Discarded,0.1,Corporate Events,2019-01-11
16769,ud190q8c,Discarded,0.1,Corporate Events,2019-09-29
16770,chccv5vo,Discarded,0.1,Corporate Events,2018-02-03
16771,f8zxvyrc,Waiting,0.4,Indefinite,2019-01-11
16772,pg6jvy3p,Discarded,0.1,Corporate Events,2019-09-29
16773,vhj11XHu,Waiting,0.4,Sports Events,2018-02-03
16774,xijirwne,Waiting,0.4,Corporate Events,2019-01-11
16775,gk7ls2ss,Waiting,0.4,Corporate Events,2019-09-29
16776,mTkhsyIJ,Waiting,0.4,Corporate Events,2018-02-03
16777,os588w4a,Waiting,0.4,Indefinite,2019-01-11
16778,9ljnnsvy,Engaged,0.45,Corporate Events,2019-09-29
16779,jt01n9g7,Waiting,0.4,Corporate Events,2018-02-03
16780,oit91xs8,Waiting,0.4,Corporate Events,2019-01-11
16781,qkiK80XE,Discarded,0.1,Sports Events,2019-09-29
16782,Vk7tQ2UE,Qualified,0.5,Educational Seminars,2018-02-03
16783,4yj57jj2,Waiting,0.4,Corporate Events,2019-01-11
16784,x0s7ptbu,Waiting,0.4,Indefinite,2019-09-29
16785,nxa5vfoc,Waiting,0.4,Corporate Events,2018-02-03
16786,FlnKM3wP,Discarded,0.1,Corporate Events,2019-01-11
16787,rbft6rii,Waiting,0.4,Indefinite,2019-09-29
16788,mKsxbNz5,Qualified,0.5,Corporate Events,2018-02-03
16789,nWNZJqPB,Qualified,0.5,Indefinite,2019-01-11
16790,piuu1q7o,Discarded,0.1,Indefinite,2019-09-29
16791,lJfDJBTS,Discarded,0.1,Sports Events,2018-02-03
16792,uzv254bk,Engaged,0.45,Corporate Events,2019-01-11
16793,g5y4n9jd,Process,0.3,Corporate Events,2019-09-29
16794,7twkxkar,Waiting,0.4,Sports Events,2018-02-03
16795,HafImlcz,Waiting,0.4,Indefinite,2019-01-11
16796,eah3dw4a,Discarded,0.1,Corporate Events,2019-09-29
16797,39hizXrh,Qualified,0.5,Corporate Events,2018-02-03
16798,BsRJmDOS,Discarded,0.1,Indefinite,2019-01-11
16799,7b5jp5ri,Process,0.3,Corporate Events,2019-09-29
16800,brcB9ITz,Qualified,0.5,Corporate Events,2018-02-03
16801,jAxNcLIq,Process,0.3,Sports Events,2019-01-11
16802,fnedtrdu,Waiting,0.4,Corporate Events,2019-09-29
16803,Y8yzN2ag,Discarded,0.1,Sports Events,2018-02-03
16804,2lxsmu3l,Waiting,0.4,Corporate Events,2019-01-11
16805,104lk16f,Waiting,0.4,Indefinite,2019-09-29
16806,gmVYe2IE,Waiting,0.4,Sports Events,2018-02-03
16807,9baui7f4,Discarded,0.1,Corporate Events,2019-01-11
16808,92skwr9j,Discarded,0.1,Educational Seminars,2019-09-29
16809,Pwo0kibl,Waiting,0.4,Sports Events,2018-02-03
16810,v37klc8e,Discarded,0.1,Corporate Events,2019-01-11
16811,nfqkw6qv,Process,0.3,Corporate Events,2019-09-29
16812,h3od6kgq,Discarded,0.1,Corporate Events,2018-02-03
16813,iony2kg0,Waiting,0.4,Corporate Events,2019-01-11
16814,ij986uif,Discarded,0.1,Indefinite,2019-09-29
16815,TR0GeKFH,Waiting,0.4,Indefinite,2018-02-03
16816,7xvthkkc,Waiting,0.4,Indefinite,2019-01-11
16817,71orcyaf,Waiting,0.4,Corporate Events,2019-09-29
16818,6dbvo7b7,Waiting,0.4,Corporate Events,2018-02-03
16819,l8ptw1lw,Waiting,0.4,Corporate Events,2019-01-11
16820,y7moyhel,Waiting,0.4,Indefinite,2019-09-29
16821,DascXWYg,Waiting,0.4,Corporate Events,2018-02-03
16822,67m45khf,Waiting,0.4,Indefinite,2019-01-11
16823,jlavq4d3,Waiting,0.4,Indefinite,2019-09-29
16824,Pir7LX7G,Discarded,0.1,Sports Events,2018-02-03
16825,vc7ypkxe,Waiting,0.4,Corporate Events,2019-01-11
16826,0d7om4uy,Process,0.3,Corporate Events,2019-09-29
16827,o2ESiOpW,Discarded,0.1,Sports Events,2018-02-03
16828,yabhx4uh,Waiting,0.4,Corporate Events,2019-01-11
16829,pjd3emr1,Process,0.3,Corporate Events,2019-09-29
16830,e2CTp5nb,Discarded,0.1,Sports Events,2018-02-03
16831,4hozbgpr,Engaged,0.45,Corporate Events,2019-01-11
16832,19aam67y,Process,0.3,Corporate Events,2019-09-29
16833,4fjy0cih,Discarded,0.1,Corporate Events,2018-02-03
16834,2k03kaqb,Waiting,0.4,Educational Seminars,2019-01-11
16835,j7346u6t,Waiting,0.4,Indefinite,2019-09-29
16836,q6c71zof,Waiting,0.4,Corporate Events,2018-02-03
16837,dfceat5m,Discarded,0.1,Corporate Events,2019-01-11
16838,jmx42w69,Discarded,0.1,Corporate Events,2019-09-29
16839,motxiu0e,Waiting,0.4,Sports Events,2018-02-03
16840,udll0xvm,Discarded,0.1,Indefinite,2019-01-11
16841,20xcyrfj,Waiting,0.4,Sports Events,2019-09-29
16842,XRMiUOtT,Qualified,0.5,Corporate Events,2018-02-03
16843,gLl7pUCt,Qualified,0.5,Sports Events,2019-01-11
16844,y2z2tpjv,Waiting,0.4,Corporate Events,2019-09-29
16845,RA9dyD4b,Discarded,0.1,Sports Events,2018-02-03
16846,lrkiznrq,Waiting,0.4,Indefinite,2019-01-11
16847,fpvw7us6,Discarded,0.1,Indefinite,2019-09-29
16848,0f6ZgOAS,Waiting,0.4,Corporate Events,2018-02-03
16849,VLXu916F,Qualified,0.5,Sports Events,2019-01-11
16850,nrl6s0th,Waiting,0.4,Corporate Events,2019-09-29
16851,l3eeu05y,Discarded,0.1,Corporate Events,2018-02-03
16852,6vuszsyf,Waiting,0.4,Corporate Events,2019-01-11
16853,WsUPX2E6,Qualified,0.5,Sports Events,2019-09-29
16854,Sj2sooTc,Qualified,0.5,Corporate Events,2018-02-03
16855,56uuk50h,Discarded,0.1,Corporate Events,2019-01-11
16856,SIhrUrLD,Waiting,0.4,Indefinite,2019-09-29
16857,5gnw10gk,Waiting,0.4,Educational Seminars,2018-02-03
16858,xgn1Xx3K,Discarded,0.1,Indefinite,2019-01-11
16859,hoy791ww,Discarded,0.1,Corporate Events,2019-09-29
16860,BSMcYqOr,Qualified,0.5,Corporate Events,2018-02-03
16861,t1n1q2pg,Discarded,0.1,Corporate Events,2019-01-11
16862,afrvxv02,Waiting,0.4,Indefinite,2019-09-29
16863,58yesgpo,Waiting,0.4,Indefinite,2018-02-03
16864,tdkxt3qu,Discarded,0.1,Corporate Events,2019-01-11
16865,f6k8f04a,Process,0.3,Corporate Events,2019-09-29
16866,dUh3g6b1,Waiting,0.4,Educational Seminars,2018-02-03
16867,n8d6cshk,Waiting,0.4,Corporate Events,2019-01-11
16868,6oxls9un,Waiting,0.4,Indefinite,2019-09-29
16869,yjsm8k76,Waiting,0.4,Sports Events,2018-02-03
16870,e03f1rfw,Waiting,0.4,Sports Events,2019-01-11
16871,ehbw93p6,Discarded,0.1,Indefinite,2019-09-29
16872,jufgjklp,Waiting,0.4,Corporate Events,2018-02-03
16873,g8jfbtkq,Waiting,0.4,Corporate Events,2019-01-11
16874,gohooahr,Discarded,0.1,Indefinite,2019-09-29
16875,rprbp1z4,Waiting,0.4,Corporate Events,2018-02-03
16876,QvUxn0uX,Waiting,0.4,Educational Seminars,2019-01-11
16877,npmgyntr,Process,0.3,Corporate Events,2019-09-29
16878,5oto6zin,Waiting,0.4,Corporate Events,2018-02-03
16879,bt2qpnmt,Waiting,0.4,Corporate Events,2019-01-11
16880,yimtovc2,Process,0.3,Corporate Events,2019-09-29
16881,cjh3nzaz,Waiting,0.4,Corporate Events,2018-02-03
16882,zomxRrxh,Qualified,0.5,Sports Events,2019-01-11
16883,peb163vp,Waiting,0.4,Corporate Events,2019-09-29
16884,f7lwb3ft,Discarded,0.1,Corporate Events,2018-02-03
16885,xg9fbx3u,Waiting,0.4,Corporate Events,2019-01-11
16886,v1yc3q3o,Waiting,0.4,Corporate Events,2019-09-29
16887,b4p8dye7,Discarded,0.1,Corporate Events,2018-02-03
16888,ladR4VU5,Process,0.3,Sports Events,2019-01-11
16889,yk94p1we,Process,0.3,Corporate Events,2019-09-29
16890,hrw1wxh8,Waiting,0.4,Corporate Events,2018-02-03
16891,ybdkcdep,Discarded,0.1,Indefinite,2019-01-11
16892,j3npfzj0,Waiting,0.4,Corporate Events,2019-09-29
16893,yls65xvh,Waiting,0.4,Corporate Events,2018-02-03
16894,LErrOG9T,Qualified,0.5,Educational Seminars,2019-01-11
16895,ml9eik9w,Waiting,0.4,Indefinite,2019-09-29
16896,udhy9fyp,Process,0.3,Sports Events,2018-02-03
16897,zlgakgxu,Waiting,0.4,Sports Events,2019-01-11
16898,fq9eipfi,Waiting,0.4,Corporate Events,2019-09-29
16899,54vaxldv,Waiting,0.4,Corporate Events,2018-02-03
16900,tokco3w4,Waiting,0.4,Corporate Events,2019-01-11
16901,ckjasjbh,Discarded,0.1,Indefinite,2019-09-29
16902,qOlPmPJr,Discarded,0.1,Sports Events,2018-02-03
16903,olgplmiq,Discarded,0.1,Corporate Events,2019-01-11
16904,bx1vlf75,Discarded,0.1,Corporate Events,2019-09-29
16905,HYRbBX9w,Discarded,0.1,Sports Events,2018-02-03
16906,ptwX6XRD,Waiting,0.4,Indefinite,2019-01-11
16907,1O4LWe5v,Process,0.3,Indefinite,2019-09-29
16908,rneqxqj5,Process,0.3,Corporate Events,2018-02-03
16909,Aq6Jm2GR,Discarded,0.1,Indefinite,2019-01-11
16910,poqn8l89,Discarded,0.1,Corporate Events,2019-09-29
16911,xl49n9qp,Waiting,0.4,Corporate Events,2018-02-03
16912,6o9mx7sz,Waiting,0.4,Indefinite,2019-01-11
16913,ZykLc8iy,Process,0.3,Indefinite,2019-09-29
16914,5IzmIONa,Waiting,0.4,Educational Seminars,2018-02-03
16915,z13vi1fc,Waiting,0.4,Corporate Events,2019-01-11
16916,m1cjkzm2,Waiting,0.4,Corporate Events,2019-09-29
16917,jhib7ke7,Waiting,0.4,Corporate Events,2018-02-03
16918,be0nor5n,Discarded,0.1,Indefinite,2019-01-11
16919,12lunyjw,Engaged,0.45,Corporate Events,2019-09-29
16920,clQAQBHq,Waiting,0.4,Sports Events,2018-02-03
16921,iaokk20p,Waiting,0.4,Corporate Events,2019-01-11
16922,554npx1j,Waiting,0.4,Indefinite,2019-09-29
16923,0oDVfj3e,Waiting,0.4,Sports Events,2018-02-03
16924,bs8xismc,Waiting,0.4,Indefinite,2019-01-11
16925,5l0zpk4n,Discarded,0.1,Indefinite,2019-09-29
16926,JGlsXRKb,Waiting,0.4,Indefinite,2018-02-03
16927,VoSjf0jY,Waiting,0.4,Indefinite,2019-01-11
16928,bhi4b32g,Discarded,0.1,Corporate Events,2019-09-29
16929,pKbl86sc,Waiting,0.4,Corporate Events,2018-02-03
16930,xx0k7w1d,Discarded,0.1,Indefinite,2019-01-11
16931,57uynlh6,Process,0.3,Corporate Events,2019-09-29
16932,vx28qigv,Waiting,0.4,Corporate Events,2018-02-03
16933,9shcrxy7,Discarded,0.1,Corporate Events,2019-01-11
16934,kmi5370l,Discarded,0.1,Indefinite,2019-09-29
16935,VARjQTH6,Waiting,0.4,Sports Events,2018-02-03
16936,sqdqTo0Z,Discarded,0.1,Indefinite,2019-01-11
16937,wfvRBqmi,Process,0.3,Indefinite,2019-09-29
16938,hb1qauj2,Waiting,0.4,Corporate Events,2018-02-03
16939,tBf5EXMN,Waiting,0.4,Educational Seminars,2019-01-11
16940,72f9z5a1,Waiting,0.4,Corporate Events,2019-09-29
16941,r36pxy80,Waiting,0.4,Corporate Events,2018-02-03
16942,q3lqcv9s,Discarded,0.1,Indefinite,2019-01-11
16943,o4ugm75s,Waiting,0.4,Educational Seminars,2019-09-29
16944,7vgq9iyp,Waiting,0.4,Corporate Events,2018-02-03
16945,4egvtlkw,Discarded,0.1,Corporate Events,2019-01-12
16946,j0jkmutg,Process,0.3,Corporate Events,2019-10-30
16947,NoOKwNP6,Waiting,0.4,Sports Events,2018-02-03
16948,66idv7im,Discarded,0.1,Corporate Events,2019-01-12
16949,16mlubce,Process,0.3,Indefinite,2019-10-30
16950,qenwqrjd,Waiting,0.4,Corporate Events,2018-02-03
16951,XICEIW55,Waiting,0.4,Educational Seminars,2019-01-12
16952,2e4utf0o,Discarded,0.1,Indefinite,2019-10-30
16953,c9bn8sgm,Waiting,0.4,Corporate Events,2018-02-03
16954,ugrzql5t,Waiting,0.4,Indefinite,2019-01-12
16955,hdlfxpbv,Waiting,0.4,Indefinite,2019-10-30
16956,BlbMTcYa,Qualified,0.5,Corporate Events,2018-02-03
16957,hvrzdbzx,Waiting,0.4,Sports Events,2019-01-12
16958,0e2rk4em,Discarded,0.1,Corporate Events,2019-10-30
16959,8imz5c3z,Waiting,0.4,Corporate Events,2018-02-03
16960,3p5eg6z0,Waiting,0.4,Indefinite,2019-01-12
16961,56g0izwc,Waiting,0.4,Sports Events,2019-10-30
16962,70v2zx3e,Waiting,0.4,Corporate Events,2018-02-03
16963,fje2ewrm,Waiting,0.4,Sports Events,2019-01-12
16964,zy9bg55e,Waiting,0.4,Indefinite,2019-10-30
16965,FPLygPaB,Waiting,0.4,Sports Events,2018-02-03
16966,mrwku1gg,Discarded,0.1,Educational Seminars,2019-01-12
